Step,PotEng,KinEng,TotEng,Temp,Press,Density
0,-6782.1109,2998.5,-3783.6109,1,-2.1161302,0.5
100,-6944.3246,3061.3223,-3883.0023,1.0209512,-0.31738687,0.5
200,-7003.7202,3116.6603,-3887.06,1.0394065,-0.27545698,0.5
300,-7013.0632,3122.0576,-3891.0056,1.0412065,-0.17607273,0.5
400,-7008.9394,3117.6218,-3891.3176,1.0397271,-0.22097302,0.5
500,-7041.2253,3149.7076,-3891.5176,1.0504278,-0.15061074,0.5
600,-7056.6605,3163.3875,-3893.2729,1.05499,-0.23214853,0.5
700,-7085.7328,3189.9361,-3895.7967,1.0638439,-0.22214784,0.5
800,-7057.1304,3161.2211,-3895.9093,1.0542675,-0.079569093,0.5
900,-7081.4439,3186.4828,-3894.9611,1.0626923,-0.16677998,0.5
1000,-7080.2341,3184.817,-3895.4172,1.0621367,-0.1535419,0.5
1000,-7080.2341,3184.817,-3895.4172,1.0621367,-0.1535419,0.5
1100,-7189.1574,3068.7987,-4120.3587,1.0234446,-0.24546593,0.5
1200,-7157.0418,3024.3639,-4132.6779,1.0086256,-0.25832608,0.5
1300,-7140.1665,3038.1515,-4102.0149,1.0132238,-0.14830553,0.5
1400,-7140.6161,3047.2436,-4093.3725,1.016256,-0.24864336,0.5
1500,-7139.2662,3010.0379,-4129.2283,1.0038479,-0.21880924,0.5
1600,-7158.1681,2994.711,-4163.4571,0.99873636,-0.23766832,0.5
1700,-7172.6958,2941.0399,-4231.656,0.98083705,-0.21417124,0.5
1800,-7177.8021,2978.7886,-4199.0135,0.99342624,-0.22697521,0.5
1900,-7263.9411,3062.6603,-4201.2808,1.0213975,-0.27059261,0.5
2000,-7213.6499,3023.7893,-4189.8606,1.008434,-0.21973494,0.5
2000,-7213.6499,3023.7893,-4189.8606,1.008434,-0.21973494,0.5
2100,-7234.6978,3051.3285,-4183.3694,1.0176183,-0.20121407,0.5
2200,-7259.8054,3087.2122,-4172.5932,1.0295855,-0.32071717,0.5
2300,-7198.1741,3071.722,-4126.4521,1.0244195,-0.2111608,0.5
2400,-7258.4354,2955.4756,-4302.9599,0.98565135,-0.31682997,0.5
2500,-7233.9049,2986.184,-4247.7209,0.99589262,-0.29911888,0.5
2600,-7162.9075,2931.1599,-4231.7476,0.97754208,-0.17834229,0.5
2700,-7207.3225,2980.7888,-4226.5337,0.99409331,-0.29723054,0.5
2800,-7213.1429,2939.163,-4273.9799,0.9802111,-0.19447006,0.5
2900,-7248.1216,3002.6813,-4245.4403,1.0013945,-0.25544937,0.5
3000,-7291.091,3023.2825,-4267.8086,1.0082649,-0.33429695,0.5
3100,-7261.2546,2953.8546,-4307.4,0.98511077,-0.17527854,0.5
3200,-7291.3725,2929.1597,-4362.2127,0.97687502,-0.23780939,0.5
3300,-7282.8089,3090.9141,-4191.8947,1.0308201,-0.29666193,0.5
3400,-7235.3082,2986.6666,-4248.6416,0.99605358,-0.23742147,0.5
3500,-7240.4672,2947.1305,-4293.3366,0.98286827,-0.26070909,0.5
3600,-7209.299,2948.0469,-4261.2521,0.9831739,-0.23379408,0.5
3700,-7165.1255,2934.5744,-4230.5511,0.9786808,-0.36378009,0.5
3800,-7241.078,2940.5356,-4300.5425,0.98066885,-0.35162378,0.5
3900,-7221.2642,2927.7692,-4293.4949,0.97641128,-0.15398685,0.5
4000,-7278.7718,3035.3367,-4243.4351,1.012285,-0.27898269,0.5
